features,,mapLoss,,,reducedMap,,,,,
none,,0.2963,,,0.2963,,,,,
termFreqTpDoc,,0.0119,0.004940651,0.004940651,0.291359349,,,0.006976027,0.022809405,0.0228
docFreqTpDoc,,0.0206,0.008552723,0.013493373,0.282806627,,,0.03207276,0.011254295,0.0113
avgTMiP*,,0.0104,0.00431788,0.017811253,0.278488747,,,0.008516627,0.023131372,0.0231
avgTCooccur,,0.0186,0.007722361,0.025533614,0.270766386,,,0.031018745,0.017518824,0.0175
avgTCooccurP*,,0.0285,0.011832651,0.037366265,0.258933735,,,0.016919318,0.025511128,0.0255
avgTDocScore,,0.0275,0.01141747,0.048783735,0.247516265,,,0.024159334,0.031930723,0.0319
avgDocScore,,0.0266,0.011043807,0.059827542,0.236472458,,,0.008967122,0.018709415,0.0187
maxTMiP*,,0.0255,0.010587108,0.070414651,0.225885349,,,0.010779059,0.003058417,0.0031
avgTCooccur*,,0.0281,0.011666578,0.082081229,0.214218771,,,0.006894073,0.0033377,0.0033
maxTCooccurP*,,0.0288,0.011957205,0.094038434,0.202261566,,,0.033076786,0.009207543,0.0092
avgNumLinks,,0.0206,0.008552723,0.102591157,0.193708843,,,0.03047918,0.013259396,0.0133
avgTMiL*,,0.0287,0.011915687,0.114506843,0.181793157,,,0.021818208,0.017917751,0.0179
avgCooccur*,,0.0279,0.011583542,0.126090386,0.170209614,,,0.022809849,0.010223216,0.0102
maxTMiL*,,0.0175,0.007265663,0.133356048,0.162943952,,,0.030695648,0.030416978,0.0304
avgCooccurL*,,0.0173,0.007182627,0.140538675,0.155761325,,,0.001199493,0.005815822,0.0058
avgTCooccurL*,,0.0133,0.005521904,0.146060578,0.150239422,,,0.000353681,0.007448133,0.0074
varDocScore,,0.0113,0.004691542,0.15075212,0.14554788,,,0.006248694,0.027495014,0.0275
maxCooccur*,,0.0112,0.004650024,0.155402145,0.140897855,,,0.013557623,0.020621638,0.0206
maxTCooccur*,,0.0102,0.004234843,0.159636988,0.136663012,,,0.030983833,0.028516984,0.0285
maxNumLinks,,0.0092,0.003819663,0.163456651,0.132843349,,,0.019988498,0.028610985,0.0286
maxTCooccurL*,,0.0074,0.003072337,0.166528988,0.129771012,,,0.013516709,0.001745742,0.0017
nodeDegree,,0.0058,0.002408048,0.168937036,0.127362964,,,0.032974543,0.030560337,0.0306
maxCooccurL*,,0.0033,0.001370096,0.170307133,0.125992867,,,0.024605196,0.017254358,0.0173
maxTCooccur,,0.0031,0.00128706,0.171594193,0.124705807,,,0.027735096,0.011243351,0.0112
hgstDocScore,,0.0017,0.000705807,0.1723,0.124,,,0.024189564,0.026594749,0.0266
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,1.400607492,,,,,,
