th,TREC7n8-beta_U,ROBUST04-beta_U,GOV-beta_U,TREC7n8-beta_L,ROBUST04-beta_L,GOV-beta_L
0.05,0.2324,0.2498,0.2441,0.2466,0.2603,0.2584
0.1,0.2463,0.2676,0.2767,0.259,0.2958,0.2762
0.15,0.2535,0.2981,0.274,0.253,0.3002,0.2767
0.2,0.2602,0.2816,0.27,0.2451,0.2714,0.2394
0.25,0.2379,0.2793,0.268,0.232,0.2578,0.2386
0.3,0.217,0.2732,0.24,0.196,0.2334,0.2369
0.35,0.19,0.2572,0.24,0.1842,0.2351,0.2257
0.4,0.185,0.2145,0.22,0.173,0.1967,0.2204
0.45,0.145,0.1935,0.18,0.152,0.1769,0.22
0.5,0.1217,0.1831,0.1438,0.1,0.1431,0.1124
